duration_s,n_caller,n_agent,turn_caller_mean,turn_caller_std,turn_caller_cv,caller_speech_ratio,agent_speech_ratio,barge_in,barge_rate,agent_barge,overlap_s,overlap_rate,lat_mean,lat_med,lat_p90,lat_std,first_latency,silence_fill,silence_fill_rate,caller_gap_mean,anon_id,label,split
170.22,16.0,13.0,2.86625,3.078520088857631,1.0740584697279132,0.26941604981788275,0.4387263541299491,0.0,0.0,0.0,0.04000000000000625,0.00023499001292448743,4.217500000000003,3.4299999999999997,6.3300000000000125,1.9501650571169624,2.7800000000000002,0.0,0.0,5.862666666666668,call_0181ce113ebe,synthetic,train
128.22,18.0,13.0,2.245555555555557,4.186118889618962,1.8641796143775673,0.31523943222586204,0.4595226953673375,4.0,0.2222222222222222,0.0,3.6000000000000227,0.02807674309780083,5.586666666666666,3.670000000000001,12.633999999999999,4.5464076172536725,2.1799999999999997,0.0,0.0,3.2447058823529398,call_018c9d3823ac,synthetic,train
215.9,10.0,16.0,7.337999999999998,5.947728642095235,0.8105381087619565,0.33987957387679474,0.41973135710977294,1.0,0.1,0.0,0.6400000000000148,0.0029643353404354552,3.888000000000001,3.9699999999999998,5.178000000000008,1.2685487771465473,3.9399999999999995,0.0,0.0,14.468888888888891,call_01bf49059daf,synthetic,train
149.12,9.0,15.0,2.762222222222223,3.0235144296286816,1.0945949262533439,0.16671137339055797,0.516362660944206,0.0,0.0,0.0,0.0,0.0,2.846666666666665,2.5999999999999943,3.315999999999997,0.5607138307550444,2.880000000000001,0.0,0.0,11.307499999999997,call_01c3806808d6,synthetic,train
108.78,15.0,17.0,1.2173333333333338,1.1040982242938764,0.9069810166707634,0.16786173929031079,0.5333701047986762,6.0,0.4,0.0,3.439999999999995,0.03162346019488872,2.0026666666666673,2.0,2.504000000000005,0.5750300475240901,1.7999999999999998,1.0,0.06666666666666667,5.58142857142857,call_0294f969f98b,synthetic,val
145.94,16.0,20.0,1.7750000000000004,1.4032016961221212,0.7905361668293639,0.19460052076195702,0.5136357407153623,3.0,0.1875,2.0,2.499999999999993,0.01713032753186236,3.077499999999999,2.4499999999999957,4.239999999999998,1.7427546442342376,3.0599999999999996,3.0,0.1875,7.061333333333333,call_02c249d2f89d,synthetic,train
146.66,11.0,13.0,3.3145454545454527,2.131394608045776,0.6430428054992746,0.24860220919132675,0.44797490795036143,0.0,0.0,1.0,0.20000000000000284,0.001363698349925016,4.478181818181818,3.5,7.560000000000002,2.6706411153395644,4.86,0.0,0.0,9.686000000000002,call_02d28871d7b3,synthetic,train
173.84,14.0,10.0,5.242857142857143,4.966849286694201,0.9473554497781854,0.4222273354809019,0.3854118729866544,1.0,0.07142857142857142,1.0,1.0599999999999952,0.0060975609756097286,6.111428571428571,2.6700000000000017,15.204000000000008,6.041521635603846,1.5799999999999992,1.0,0.07142857142857142,6.956923076923077,call_03680846967f,synthetic,train
185.46,10.0,17.0,3.2780000000000022,1.8611705993809382,0.5677762658270095,0.17674970344009502,0.676587943491858,1.0,0.1,0.0,0.3400000000000034,0.001833279413350606,2.2680000000000007,1.0200000000000014,2.6859999999999964,3.643747521439982,1.5199999999999996,1.0,0.1,13.008888888888889,call_04d682ac0cef,human,train
168.76,21.0,14.0,3.1114285714285717,2.096850894429402,0.6739190202482007,0.387177056174449,0.3728371652050249,0.0,0.0,2.0,2.019999999999996,0.011969661057122518,7.277142857142856,6.420000000000002,16.14,5.283866858617071,2.1799999999999997,0.0,0.0,4.601999999999999,call_05d6615469e1,synthetic,train
146.14,23.0,14.0,1.7643478260869572,2.0766608357753324,1.177013287896319,0.2776789380046532,0.6252908170247712,15.0,0.6521739130434783,1.0,11.520000000000033,0.07882852059668834,8.83454545454545,8.35,20.564000000000004,7.695862363677066,1.2999999999999998,6.0,0.2608695652173913,4.28090909090909,call_0615c3630150,human,train
140.38,12.0,13.0,2.1283333333333325,2.0057493750604944,0.9424037784152679,0.18193474853967798,0.5643254024789857,3.0,0.25,0.0,1.6800000000000068,0.011967516740276442,3.275000000000001,2.940000000000005,4.277999999999994,1.368944240403286,3.3199999999999994,0.0,0.0,7.270909090909092,call_064d8dd77899,synthetic,train
133.1,14.0,13.0,3.6357142857142883,5.5307099961238695,1.521216894808136,0.38241923365890335,0.45484598046581526,7.0,0.5,0.0,5.240000000000009,0.03936889556724275,4.512857142857142,2.269999999999996,9.066000000000003,5.687558387231139,1.620000000000001,1.0,0.07142857142857142,5.547692307692305,call_06b5a78ea12e,synthetic,train
115.4,12.0,11.0,2.241666666666665,1.935053114401656,0.8632207201791781,0.23310225303292872,0.47902946273830166,0.0,0.0,0.0,0.0,0.0,3.5850000000000013,2.610000000000003,5.9920000000000035,2.5837843692279483,3.3200000000000003,0.0,0.0,6.923636363636366,call_0847d7417bb1,synthetic,val
134.76,26.0,15.0,1.3146153846153845,1.3263896363646777,1.008956423214793,0.25363609379637875,0.6859602255862274,16.0,0.6153846153846154,3.0,14.560000000000008,0.10804392994953999,4.3312,3.8400000000000034,10.492,3.75210694943521,3.88,4.0,0.15384615384615385,3.4095999999999997,call_092aef8d1243,human,train
147.9,9.0,15.0,3.8955555555555583,1.97877128604322,0.5079561202050475,0.23705206220419217,0.4670723461798513,0.0,0.0,2.0,0.7600000000000193,0.005138607167004864,3.4355555555555553,3.259999999999991,4.320000000000004,0.7106039858397587,4.56,0.0,0.0,12.459999999999997,call_098d8081babe,synthetic,train
101.4,13.0,13.0,2.1815384615384628,2.1604481235786586,0.9903323556601744,0.27968441814595674,0.42347140039447734,1.0,0.07692307692307693,1.0,0.8799999999999955,0.008678500986193249,3.7123076923076916,2.4200000000000017,5.931999999999997,2.2237949332898124,2.880000000000001,1.0,0.07692307692307693,4.644999999999999,call_099dffdf8486,synthetic,train
117.38,8.0,13.0,2.3925000000000027,1.4254451059230566,0.5957973274495527,0.16306014653262926,0.6355426818878854,1.0,0.125,0.0,0.20000000000000284,0.0017038677798603072,2.915,1.3099999999999987,5.337999999999999,4.26669368481029,1.54,1.0,0.125,11.348571428571427,call_0a9c546208d1,human,train
128.52,13.0,15.0,1.935384615384614,1.7174606271810602,0.887400165077655,0.19576719576719562,0.5599128540305012,2.0,0.15384615384615385,1.0,2.3000000000000034,0.017896047307812038,1.9066666666666663,1.3899999999999988,3.1060000000000056,1.6499966329931957,1.4800000000000004,0.0,0.0,7.948333333333334,call_0ab7d2a0c0f5,human,train
159.0,20.0,15.0,2.5149999999999997,1.613280818704543,0.6414635462045898,0.3163522012578616,0.4296855345911952,0.0,0.0,3.0,2.0400000000000045,0.01283018867924531,6.0009999999999994,4.489999999999997,10.038000000000004,3.9816954931285236,3.920000000000001,0.0,0.0,5.069473684210526,call_0cf2f4a71328,synthetic,val
209.34,27.0,22.0,2.6155555555555567,2.745826912261358,1.0498063810684881,0.3373459443966755,0.46947549441100583,1.0,0.037037037037037035,3.0,3.460000000000001,0.016528136046622722,4.516296296296297,2.5800000000000125,12.064,4.404573505353311,1.7400000000000002,1.0,0.037037037037037035,3.9392307692307678,call_0e101713ee94,synthetic,train
129.44,13.0,18.0,1.7738461538461547,1.5408366281968058,0.8686416377518849,0.17815203955500628,0.6487948084054387,4.0,0.3076923076923077,2.0,2.7800000000000082,0.02147713226205198,3.126153846153845,1.2199999999999989,5.852000000000001,4.593047485831231,0.2999999999999998,1.0,0.07692307692307693,8.011666666666665,call_0e1e2f29bfdc,human,val
136.16,12.0,16.0,1.8716666666666686,1.3529340544001234,0.7228498954942771,0.16495299647473577,0.5838719153936546,3.0,0.25,0.0,1.5600000000000023,0.011457109283196256,3.2583333333333315,1.740000000000002,9.814000000000002,3.557550265124708,2.920000000000001,0.0,0.0,9.199999999999998,call_10aa0d1d33f0,human,val
161.3,10.0,14.0,3.704000000000002,2.5978883732754987,0.7013737508843135,0.22963422194668331,0.48915065096094235,0.0,0.0,1.0,0.28000000000000114,0.001735895846249232,4.044,3.5699999999999936,5.196000000000005,1.6004699309890216,3.579999999999999,1.0,0.1,9.05111111111111,call_10ceaf16fbbf,synthetic,train
123.16,13.0,11.0,1.8800000000000023,1.444586712257442,0.7683971873709788,0.19844105228970468,0.5859045144527443,2.0,0.15384615384615385,1.0,1.4000000000000103,0.011367327054238473,3.7100000000000004,1.8599999999999994,6.265999999999999,4.574243106788268,2.1399999999999997,1.0,0.07692307692307693,6.533333333333331,call_11d3230256a1,human,train
157.28,14.0,18.0,3.8528571428571405,4.18217036711704,1.0854724719992324,0.3429552390640893,0.4802899287894202,3.0,0.21428571428571427,1.0,3.6799999999999677,0.023397761953204272,2.3614285714285743,2.0799999999999983,4.340000000000006,1.3016794489255414,1.4000000000000004,0.0,0.0,5.186153846153848,call_120d6007bcc1,synthetic,val
131.16,37.0,16.0,2.484864864864864,3.0088640413910914,1.2108763272946532,0.7009759072888074,0.5672461116193964,23.0,0.6216216216216216,10.0,48.760000000000026,0.37175968283013133,5.492222222222221,4.850000000000003,10.549999999999997,3.5151616930654908,2.62,4.0,0.10810810810810811,1.0772222222222227,call_1612f093f8b5,human,train
